"iso_code","method","year","mean","lower_ci","upper_ci","region","country","income_group","coverage","delta","lower_delta","upper_delta","within_ci","ci_width"
"AFG","ARIMA(0,2,1)",2020,0.736077137907447,0.667944748829991,0.804209526984904,"Asia","Afghanistan","LIC",0.7,-0.0360771379074472,0.0320552511700093,-0.104209526984904,TRUE,0.136264778154913
"AFG","ARIMA(0,2,1)",2021,0.752154275814894,0.63588762537076,0.868420926259029,"Asia","Afghanistan","LIC",0.66,-0.0921542758148943,0.0241123746292399,-0.208420926259029,TRUE,0.232533300888268
"AFG","ARIMA(0,2,1)",2022,0.768231413722342,0.600935171219074,0.93552765622561,"Asia","Afghanistan","LIC",0.69,-0.0782314137223417,0.0890648287809263,-0.24552765622561,TRUE,0.334592485006536
"AGO","ARIMA(0,1,0)",2020,0.57,0.493427820441531,0.646572179558469,"Africa","Angola","LMIC",0.51,-0.0599999999999999,0.0165721795584689,-0.136572179558469,TRUE,0.153144359116938
"AGO","ARIMA(0,1,0)",2021,0.57,0.461710585167945,0.678289414832054,"Africa","Angola","LMIC",0.45,-0.12,-0.0117105851679455,-0.228289414832054,FALSE,0.216578829664109
"AGO","ARIMA(0,1,0)",2022,0.57,0.437373094558445,0.702626905441555,"Africa","Angola","LMIC",0.42,-0.15,-0.017373094558445,-0.282626905441555,FALSE,0.26525381088311
"ALB","ARIMA(2,1,0)",2020,0.99,0.977814613158256,0.99,"Europe","Albania","UMIC",0.98,-0.01,0.00218538684174374,-0.01,TRUE,0.0121853868417438
"ALB","ARIMA(2,1,0)",2021,0.99,0.977568860124941,0.99,"Europe","Albania","UMIC",0.98,-0.01,0.0024311398750585,-0.01,TRUE,0.0124311398750585
"ALB","ARIMA(2,1,0)",2022,0.99,0.976458290958223,0.99,"Europe","Albania","UMIC",0.97,-0.02,-0.00645829095822337,-0.02,FALSE,0.0135417090417767
"AND","ARIMA(0,0,1) with non-zero mean",2020,0.982362935189194,0.95329841273388,0.99,"Europe","Andorra","HIC",0.99,0.00763706481080573,0.0367015872661202,0,TRUE,0.0367015872661202
"AND","ARIMA(0,0,1) with non-zero mean",2021,0.978385404190332,0.945804414979926,0.99,"Europe","Andorra","HIC",0.99,0.0116145958096683,0.0441955850200738,0,TRUE,0.0441955850200738
"AND","ARIMA(0,0,1) with non-zero mean",2022,0.978385404190332,0.945804414979926,0.99,"Europe","Andorra","HIC",0.98,0.00161459580966827,0.0341955850200738,-0.01,TRUE,0.0441955850200738
"ARE","ARIMA(0,1,0)",2020,0.99,0.969390270778513,0.99,"Asia","United Arab Emirates","HIC",0.9,-0.09,-0.0693902707785129,-0.09,FALSE,0.0206097292214871
"ARE","ARIMA(0,1,0)",2021,0.99,0.960853441418136,0.99,"Asia","United Arab Emirates","HIC",0.96,-0.03,-0.000853441418136036,-0.03,FALSE,0.029146558581864
"ARE","ARIMA(0,1,0)",2022,0.99,0.954302901858147,0.99,"Asia","United Arab Emirates","HIC",0.96,-0.03,0.00569709814185249,-0.03,TRUE,0.0356970981418525
"ARG","ARIMA(2,0,0) with non-zero mean",2020,0.853462021279632,0.789474590063471,0.917449452495792,"Americas","Argentina","UMIC",0.74,-0.113462021279632,-0.0494745900634714,-0.177449452495792,FALSE,0.12797486243232
"ARG","ARIMA(2,0,0) with non-zero mean",2021,0.892064837334739,0.800825439729353,0.983304234940124,"Americas","Argentina","UMIC",0.81,-0.0820648373347389,0.00917456027064656,-0.173304234940124,TRUE,0.182478795210771
"ARG","ARIMA(2,0,0) with non-zero mean",2022,0.919763602978437,0.822169837284033,0.99,"Americas","Argentina","UMIC",0.81,-0.109763602978437,-0.0121698372840331,-0.18,FALSE,0.167830162715967
"ARM","ARIMA(1,0,0) with non-zero mean",2020,0.921407332914967,0.890905360784452,0.951909305045483,"Asia","Armenia","UMIC",0.91,-0.0114073329149673,0.0190946392155484,-0.0419093050454831,TRUE,0.0610039442610315
"ARM","ARIMA(1,0,0) with non-zero mean",2021,0.922447190112032,0.884522172542633,0.960372207681431,"Asia","Armenia","UMIC",0.93,0.00755280988796803,0.0454778274573673,-0.0303722076814312,TRUE,0.0758500351387985
"ARM","ARIMA(1,0,0) with non-zero mean",2022,0.923215525009047,0.881795535724864,0.96463551429323,"Asia","Armenia","UMIC",0.93,0.00678447499095314,0.048204464275136,-0.0346355142932298,TRUE,0.0828399785683658
"ATG","ARIMA(1,0,0) with non-zero mean",2020,0.96136493105042,0.925405214711411,0.99,"Americas","Antigua and Barbuda","HIC",0.96,-0.00136493105042046,0.0345947852885885,-0.03,TRUE,0.0645947852885885
"ATG","ARIMA(1,0,0) with non-zero mean",2021,0.96704685879927,0.926843434645231,0.99,"Americas","Antigua and Barbuda","HIC",0.92,-0.0470468587992697,-0.00684343464523118,-0.07,FALSE,0.0631565653547688
"ATG","ARIMA(1,0,0) with non-zero mean",2022,0.969887553810961,0.928691637157493,0.99,"Americas","Antigua and Barbuda","HIC",0.99,0.020112446189039,0.0613083628425074,0,TRUE,0.0613083628425074
